symbol,exit_method,trades,total_return,average_return,median_return,win_rate,max_drawdown,profit_factor,train_return,validation_trades,validation_return,validation_expectancy,validation_median,validation_win_rate,validation_max_drawdown,validation_profit_factor,validation_sell_early_median_6h,validation_stop_rate,exit_eligible,exit_score,turnover24h,age_days
1000RATSUSDT,structure_mfe30_act075,58,0.15041862624738855,0.0025029939646975664,0.004679291062377412,0.6896551724137931,-0.0756196080357826,1.7309014965681275,0.03689761730531682,14,0.10948140592423083,0.007611960448185454,0.003833667063867453,0.7142857142857143,-0.008353804693803424,6.08086241932411,0.008541919153203903,0.9285714285714286,True,1.0,63174416.8533,986.3294839236111
1000RATSUSDT,structure_fixed6,58,-0.05639841380900823,-0.0007621349310359099,-0.008325908310784835,0.3103448275862069,-0.1998784240231556,0.9027146443766396,-0.16987450120922687,14,0.136697508467716,0.009735511904022387,0.0002853545282888734,0.5,-0.02852979078163631,3.738260816148644,0.007067462496434751,0.5,False,,63174416.8533,986.3294839236111
1000RATSUSDT,structure_mfe40_act100,58,0.09548725614500597,0.001697087478761199,0.004294350680383197,0.603448275862069,-0.08633364202572635,1.3563152458814334,-0.004562759052210041,14,0.10050861177541925,0.007111421455318115,0.0017909003736574789,0.5714285714285714,-0.02265079812354731,3.4003597997480606,0.008721081233852956,0.9285714285714286,False,,63174416.8533,986.3294839236111
1000RATSUSDT,structure_time_staged_mfe,58,0.03247642043243415,0.0006623527817614892,0.00315861633752157,0.5862068965517241,-0.10427993041619477,1.1321540865624928,-0.05086097495538633,14,0.08780314915815812,0.006241028960174057,0.001426232626493774,0.5714285714285714,-0.0226507981235472,3.1065711150985518,0.008721081233852956,0.9285714285714286,False,,63174416.8533,986.3294839236111
1000RATSUSDT,structure_time_smart_reversal,58,0.03247642043243415,0.0006623527817614892,0.00315861633752157,0.5862068965517241,-0.10427993041619477,1.1321540865624928,-0.05086097495538633,14,0.08780314915815812,0.006241028960174057,0.001426232626493774,0.5714285714285714,-0.0226507981235472,3.1065711150985518,0.008721081233852956,0.9285714285714286,False,,63174416.8533,986.3294839236111
1000RATSUSDT,structure_mfe50_act125,58,-0.0350009657777276,-0.000504805897603054,0.0026220728921253498,0.5344827586206896,-0.12808222047641415,0.914619234999007,-0.10532353851020171,14,0.07860112091847649,0.005597532400045505,0.002342619918072498,0.5714285714285714,-0.02265079812354709,2.8893679463771105,0.008736873896698971,0.9285714285714286,False,,63174416.8533,986.3294839236111
1000RATSUSDT,structure_atr_trail_1.5,58,-0.017310248515807314,-0.0001984700437556546,-0.002225549370434731,0.46551724137931033,-0.09720616594235976,0.9642162286976157,-0.07211874699499721,14,0.059068440386836896,0.004229957581940304,0.0006739257836250187,0.5714285714285714,-0.023106419294951053,2.42776239576351,0.008214862973308756,0.9285714285714286,False,,63174416.8533,986.3294839236111
1000RATSUSDT,structure_rolling_high,58,-0.14148120325647395,-0.002515811393973932,-0.00838505733465128,0.3620689655172414,-0.1712694494678898,0.6859143949358915,-0.16603251179463752,14,0.029439167456031923,0.002136992576594316,-0.0011955784594934174,0.5,-0.030760853458310478,1.6010616693377,0.008214862973308756,0.5,False,,63174416.8533,986.3294839236111
PYTHUSDT,structure_fixed6,63,0.47863539012716294,0.006463367142046158,-0.0054688184281054255,0.4444444444444444,-0.05457626374884961,2.323118430852063,0.24537928662831132,15,0.18729724028922923,0.011782455009051144,0.005453278265358797,0.5333333333333333,-0.01783249730590286,4.098996781200202,0.01663812087105465,0.4666666666666667,True,0.8987499999999999,1270366.9361,987.3746691087963
PYTHUSDT,structure_rolling_high,63,0.23570306015317377,0.0035493387481074375,-0.006887466975057931,0.38095238095238093,-0.10459896645803046,1.6103267999684303,0.09854171859708583,15,0.12485765377327018,0.008029898249295711,-0.005715852068665094,0.4666666666666667,-0.01783249730590286,2.8748888937862014,0.01801535735380977,0.5333333333333333,True,0.6737500000000001,1270366.9361,987.3746691087963
PYTHUSDT,structure_time_smart_reversal,63,0.23230966171612,0.003495458624905354,0.0016428391643593674,0.6031746031746031,-0.06538471533918899,2.0477436536653513,0.16754248730218024,15,0.0554730770985441,0.003703982214138516,0.0016428391643593674,0.6,-0.01783249730590275,2.1662654588912096,0.019972027712138907,0.9333333333333333,True,0.6143749999999999,1270366.9361,987.3746691087963
PYTHUSDT,structure_time_staged_mfe,63,0.22623732144408337,0.0034070150753015287,0.0016428391643593674,0.6031746031746031,-0.06538471533918899,2.0212332074695953,0.16178929434653444,15,0.0554730770985441,0.003703982214138516,0.0016428391643593674,0.6,-0.01783249730590275,2.1662654588912096,0.019972027712138907,0.9333333333333333,True,0.6081249999999999,1270366.9361,987.3746691087963
PYTHUSDT,structure_atr_trail_1.5,63,0.36841809191794717,0.005250997891061724,-0.002030650654239018,0.4126984126984127,-0.09852997582142675,2.391790345306525,0.28868756933242223,15,0.06186955200229649,0.004110901225443464,-0.0002624824839591025,0.4666666666666667,-0.017832497305902972,2.19757317085293,0.021473853545990407,1.0,True,0.5699999999999998,1270366.9361,987.3746691087963
PYTHUSDT,structure_mfe50_act125,63,0.1817282679099521,0.002817742013974619,0.0025650623885918886,0.5555555555555556,-0.07617138052315664,1.749331174453067,0.1386910453164254,15,0.03779534648186078,0.002570313768899616,0.0022266391326793986,0.5333333333333333,-0.01783249730590286,1.676038575184505,0.019972027712138907,0.9333333333333333,True,0.458125,1270366.9361,987.3746691087963
PYTHUSDT,structure_mfe40_act100,63,0.2203524323610866,0.003325597354741107,0.0021714069972312853,0.6031746031746031,-0.06109911913651811,1.9968287131908535,0.17838911965254556,15,0.03561074352155713,0.0024081379089651842,0.0021714069972312853,0.6,-0.02023348824444038,1.7582455587265322,0.019972027712138907,0.9333333333333333,True,0.3918750000000001,1270366.9361,987.3746691087963
PYTHUSDT,structure_mfe30_act075,63,0.25409259126899864,0.003776940351327237,0.0024705755550765715,0.6825396825396826,-0.03509932443611408,2.441311963248754,0.23619865733843426,15,0.014474966320615845,0.0009926557568664305,0.0021416969437914055,0.6,-0.022446006407385144,1.3125555293931372,0.027620944028388994,1.0,True,0.28500000000000003,1270366.9361,987.3746691087963
SHIB1000USDT,structure_atr_trail_1.5,60,-0.004687311243400827,-5.559349832947004e-06,-0.002071849974745853,0.35,-0.140030060579743,0.9984799804380033,-0.0568410314355321,13,0.05529685019219177,0.004204412215772143,0.0026671607683280705,0.6153846153846154,-0.015813944331102836,2.9014289545290834,0.006446948243658435,1.0,False,,11994145.6855,1749.5893681828704
SHIB1000USDT,structure_fixed6,60,-0.02199201688472119,-0.00030226689431804473,-0.005207706992657101,0.35,-0.17317772867854497,0.9333814401326193,-0.05998520499241322,13,0.040417649072624906,0.0030976834561944676,0.002507131166705424,0.5384615384615384,-0.014988341393779803,2.176444667238503,0.011003583347916956,0.38461538461538464,False,,11994145.6855,1749.5893681828704
SHIB1000USDT,structure_mfe30_act075,60,0.0016647037430945755,4.8115101498806284e-05,0.0013804514026188883,0.7,-0.0930807889966222,1.019699293602168,-0.0326366124536257,13,0.03545856359493005,0.002691345878908206,0.0017784263366799067,0.9230769230769231,-0.0052644979771340195,7.645932162529541,0.011003583347916956,1.0,False,,11994145.6855,1749.5893681828704
SHIB1000USDT,structure_mfe50_act125,60,-0.03233907591915264,-0.0005201128699968524,0.0015519254811363634,0.5666666666666667,-0.11645847502358231,0.844641871934969,-0.06007010044257299,13,0.029503290124590853,0.0022690598618835267,0.002740939911152541,0.6923076923076923,-0.014988341393779692,2.0569935051629056,0.011003583347916956,0.9230769230769231,False,,11994145.6855,1749.5893681828704
